juego,plataforma,ano,genero,fabricante,ventas_usa,ventas_europa,ventas_japon,ventas_otro,ventas_globales,score_criticos,num_criticos,score_usuarios,num_usuarios,desarollador,rating
Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61,71.0,16.0,76.0,49.0,Electronic Arts,E
God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1.7,0.44,0.06,0.4,2.6,91.0,50.0,87.0,529.0,Bluepoint Games,M
NBA Live 2005,PS2,2004,Sports,Electronic Arts,2.03,0.21,0.0,0.35,2.59,84.0,21.0,81.0,44.0,EA Canada,E
Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.05,1.05,0.24,0.24,2.58,79.0,47.0,80.0,124.0,Next Level Games,E10+
FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87.0,42.0,75.0,108.0,EA Canada,E
Style Savvy,DS,2008,Simulation,Nintendo,0.62,0.82,0.96,0.18,2.58,73.0,4.0,77.0,7.0,syn Sophia,E
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,1.4,0.88,0.03,0.26,2.58,80.0,27.0,86.0,57.0,Yuke's,T
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.81,0.0,0.24,2.57,80.0,24.0,74.0,114.0,Traveller's Tales,E10+
Madden NFL 08,PS2,2007,Sports,Electronic Arts,2.14,0.08,0.0,0.35,2.57,78.0,11.0,78.0,17.0,EA Tiburon,E
Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57,72.0,38.0,87.0,83.0,Capcom,T
Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56,73.0,28.0,83.0,179.0,Sonic Team,E
Madden NFL 13,PS3,2012,Sports,Electronic Arts,2.11,0.22,0.0,0.23,2.56,83.0,22.0,55.0,101.0,EA Tiburon,E
Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1.76,0.55,0.03,0.22,2.56,86.0,68.0,79.0,725.0,BioWare,M
Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54,73.0,37.0,80.0,89.0,Genius Sonority Inc.,E
LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,0.64,1.22,0.01,0.67,2.54,87.0,68.0,78.0,98.0,"SCE/WWS, Media Molecule",E10+
Madden NFL 09,X360,2008,Sports,Electronic Arts,2.21,0.12,0.0,0.2,2.53,83.0,50.0,70.0,125.0,EA Tiburon,E
Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.52,80.0,15.0,79.0,46.0,Acclaim Studios Cheltenham,T
Art Academy,DS,2010,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52,75.0,15.0,80.0,5.0,Headstrong Games,E
NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.1,0.19,0.0,0.23,2.52,87.0,23.0,49.0,150.0,Visual Concepts,E
Skylanders Giants,Wii,2012,Action,Activision,1.48,0.83,0.0,0.21,2.52,78.0,8.0,70.0,20.0,Toys for Bob,E10+
Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50.0,23.0,54.0,16.0,CAProduction,E
Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5,82.0,68.0,75.0,120.0,Raven Software,T
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,1.81,0.52,0.0,0.15,2.49,79.0,31.0,88.0,96.0,Midway,M
Game Party,Wii,2007,Misc,Midway Games,1.47,0.77,0.0,0.24,2.48,25.0,8.0,43.0,26.0,Midway,E
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,100.0,86.0,6383.0,From Software,M
Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47,70.0,26.0,74.0,74.0,Hudson,E
Pure,X360,2008,Racing,Disney Interactive Studios,1.38,0.84,0.0,0.25,2.47,85.0,55.0,77.0,83.0,Black Rock Studio,E
NBA 2K13,PS3,2012,Sports,Take-Two Interactive,1.73,0.43,0.05,0.27,2.47,90.0,26.0,80.0,99.0,Visual Concepts,E
Saints Row: The Third,PS3,2011,Action,THQ,0.86,1.04,0.18,0.38,2.47,82.0,50.0,77.0,384.0,Volition Inc.,M
Resistance 2,PS3,2008,Shooter,Sony Computer Entertainment,1.15,0.84,0.1,0.38,2.46,87.0,79.0,61.0,1889.0,Insomniac Games,M
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83.0,50.0,70.0,291.0,Visual Concepts,E
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45,83.0,12.0,82.0,190.0,SquareSoft,T
Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.56,0.53,0.05,0.31,2.45,82.0,50.0,82.0,100.0,Rockstar San Diego,T
The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,1.07,1.19,0.0,0.18,2.43,81.0,26.0,84.0,42.0,Maxis,T
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.28,0.93,0.0,0.22,2.43,79.0,13.0,80.0,34.0,Traveller's Tales,E10+
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0.74,0.0,0.22,2.42,78.0,17.0,31.0,290.0,Infinity Ward,M
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,84.0,23.0,61.0,124.0,EA Sports,E
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,1.56,0.6,0.02,0.23,2.42,82.0,66.0,78.0,176.0,Ubisoft Montreal,M
Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,0.87,0.97,0.0,0.58,2.42,73.0,14.0,79.0,39.0,EA Canada,E10+
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,1.63,0.22,0.51,0.06,2.41,66.0,28.0,82.0,92.0,Dimps Corporation,T
pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.29,1.17,0.54,0.41,2.41,77.0,40.0,68.0,85.0,Konami,E
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,82.0,16.0,84.0,53.0,Rainbow Studios,E
Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,0.69,0.0,0.04,1.68,2.41,62.0,11.0,62.0,34.0,Black Box,E10+
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.7,0.04,0.22,2.4,82.0,73.0,81.0,487.0,343 Industries,M
Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,91.0,65.0,87.0,173.0,Harmonix Music Systems,T
Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.04,0.15,0.0,0.2,2.38,83.0,36.0,61.0,68.0,EA Tiburon,E
Dead Island,X360,2011,Action,Deep Silver,1.48,0.69,0.0,0.2,2.37,71.0,75.0,69.0,627.0,Techland,M
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,96.0,81.0,91.0,8665.0,Valve Software,M
The Incredibles,PS2,2004,Action,THQ,0.96,1.08,0.04,0.3,2.37,62.0,36.0,76.0,22.0,Heavy Iron Studios,T
Madden NFL 08,X360,2007,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37,85.0,46.0,64.0,108.0,EA Tiburon,E
Tony Hawk's Underground 2,PS2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37,83.0,59.0,88.0,55.0,Neversoft Entertainment,T
Zumba Fitness,X360,2010,Sports,505 Games,1.74,0.45,0.0,0.18,2.37,42.0,10.0,55.0,16.0,"Pipeworks Software, Inc.",E
Madden NFL 10,PS3,2009,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37,85.0,41.0,68.0,58.0,EA Tiburon,E
Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.68,0.45,0.01,0.21,2.35,81.0,66.0,85.0,142.0,Rockstar San Diego,T
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1.73,0.43,0.02,0.17,2.35,73.0,33.0,29.0,67.0,Frontier Developments,E10+
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,0.92,0.0,0.01,1.41,2.34,71.0,11.0,72.0,31.0,Yuke's,T
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,82.0,90.0,478.0,GREZZO,E10+
Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1.08,0.7,0.34,0.21,2.34,84.0,21.0,84.0,189.0,Capcom,M
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34,86.0,14.0,62.0,115.0,Visual Concepts,E10+
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1.38,0.72,0.02,0.22,2.34,66.0,46.0,65.0,39.0,"Rare Ltd., BigPark",E
James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31,84.0,42.0,91.0,51.0,EA Redwood Shores,T
Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31,86.0,14.0,85.0,28.0,EA Canada,E
Guild Wars 2,PC,2012,Action,NCSoft,0.96,1.07,0.0,0.27,2.31,90.0,69.0,79.0,2954.0,ArenaNet,T
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.41,0.64,0.14,2.3,75.0,69.0,56.0,382.0,Intelligent Systems,E
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76.0,46.0,77.0,668.0,WB Games Montreal,T
LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,1.02,0.9,0.0,0.36,2.29,80.0,18.0,67.0,87.0,Traveller's Tales,E10+
Need for Speed Underground 2,XB,2004,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28,77.0,35.0,87.0,27.0,EA Canada,E
Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,78.0,42.0,67.0,76.0,Konami,E
FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82.0,8.0,69.0,20.0,EA Canada,E
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0.0,0.22,2.28,72.0,7.0,72.0,6.0,TT Fusion,E10+
The Sims 3,X360,2010,Simulation,Electronic Arts,1.27,0.81,0.0,0.2,2.28,76.0,42.0,71.0,71.0,The Sims Studio,T
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,0.94,0.53,0.62,0.18,2.28,68.0,24.0,82.0,27.0,"HAL Labs, Creatures Inc.",E
Dead Island,PS3,2011,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27,71.0,41.0,66.0,405.0,Techland,M
Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,81.0,24.0,89.0,54.0,HAL Labs,E
Wario Land 4,GBA,2001,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,88.0,17.0,89.0,42.0,Nintendo,E
Sonic's Ultimate Genesis Collection,PS3,2009,Misc,Sega,1.34,0.6,0.0,0.31,2.26,80.0,35.0,86.0,43.0,Backbone Entertainment,E10+
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76.0,91.0,63.0,635.0,Ubisoft Montreal,M
Battlefield 1,XOne,2016,Shooter,Electronic Arts,1.28,0.77,0.0,0.2,2.25,87.0,37.0,82.0,440.0,EA DICE,M
Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25,84.0,31.0,90.0,52.0,Capcom,M
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,87.0,55.0,94.0,306.0,Intelligent Systems,E
Madden NFL 12,PS3,2011,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,79.0,31.0,55.0,56.0,EA Tiburon,E
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.0,89.0,75.0,914.0,SCE Santa Monica,M
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1.4,0.53,0.02,0.3,2.24,83.0,45.0,78.0,52.0,Neversoft Entertainment,T
Sonic Advance,GBA,2001,Platform,Sega,1.19,0.71,0.22,0.13,2.24,87.0,22.0,81.0,48.0,Sonic Team,E
Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1.05,0.91,0.04,0.24,2.24,74.0,53.0,57.0,72.0,Sega,E
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,59.0,79.0,288.0,Nintendo,E
Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23,74.0,16.0,80.0,13.0,Digital Eclipse,E
Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,0.51,0.5,0.91,0.31,2.23,79.0,61.0,80.0,139.0,Square Enix,T
Madden NFL 25,X360,2013,Sports,Electronic Arts,1.98,0.06,0.0,0.19,2.23,80.0,32.0,56.0,136.0,EA Sports,E
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.05,0.72,0.1,0.35,2.23,91.0,25.0,82.0,858.0,Gearbox Software,M
Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,0.88,1.03,0.0,0.31,2.22,92.0,44.0,88.0,204.0,Ubisoft,T
Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.65,0.4,1.05,0.11,2.22,84.0,70.0,86.0,219.0,Capcom,T
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.79,0.0,0.19,2.22,80.0,37.0,76.0,127.0,TT Games,E10+
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73.0,40.0,73.0,480.0,Ubisoft Montreal,M
Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,1.01,0.85,0.0,0.35,2.21,71.0,47.0,66.0,233.0,LucasArts,T
Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0.0,0.17,2.2,92.0,55.0,81.0,220.0,Harmonix Music Systems,T
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2,79.0,76.0,59.0,1095.0,Turn 10,E
Rock Band 2,X360,2008,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2,92.0,69.0,83.0,156.0,Harmonix Music Systems,T
Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,1.03,0.96,0.0,0.21,2.2,88.0,73.0,70.0,206.0,Criterion Games,E10+
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,1.4,0.59,0.0,0.2,2.2,80.0,15.0,79.0,16.0,TT Fusion,E
BioShock 2,X360,2010,Shooter,Take-Two Interactive,1.45,0.54,0.02,0.19,2.2,88.0,93.0,82.0,573.0,2K Marin,M
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,94.0,72.0,92.0,317.0,BioWare,T
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.54,0.25,0.0,0.4,2.19,81.0,37.0,61.0,208.0,EA Sports,E
Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,80.0,41.0,66.0,132.0,Konami,E
Saints Row,X360,2006,Action,THQ,1.17,0.77,0.02,0.22,2.18,81.0,74.0,75.0,211.0,Volition Inc.,M
ATV Offroad Fury 2,PS2,2002,Racing,THQ,1.92,0.2,0.0,0.06,2.18,82.0,26.0,89.0,28.0,Rainbow Studios,E
FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,33.0,54.0,347.0,EA Sports,E
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.29,0.68,0.0,0.2,2.16,80.0,33.0,69.0,614.0,Massive Entertainment,M
Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,1.28,0.67,0.01,0.21,2.16,82.0,54.0,63.0,539.0,Square Enix,T
The Sims: House Party,PC,2001,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,74.0,17.0,79.0,30.0,Maxis,T
Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,1.67,0.3,0.02,0.18,2.16,79.0,72.0,76.0,110.0,5TH Cell,E10+
Sonic Unleashed,Wii,2008,Platform,Sega,1.26,0.67,0.02,0.21,2.16,66.0,30.0,73.0,136.0,Sonic Team,E10+
Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69.0,21.0,76.0,50.0,HAL Labs,E
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90.0,31.0,61.0,1358.0,Blizzard Entertainment,T
Hitman: Absolution,PS3,2012,Action,Square Enix,0.59,1.05,0.07,0.44,2.14,83.0,30.0,75.0,511.0,Io Interactive,M
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,0.52,1.02,0.0,0.59,2.13,64.0,45.0,75.0,30.0,Amaze Entertainment,T
Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13,77.0,26.0,90.0,20.0,KCET,E
Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13,87.0,44.0,78.0,212.0,Square Enix,E
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,1.49,0.46,0.0,0.18,2.12,62.0,5.0,52.0,54.0,Ubisoft,E
Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,85.0,35.0,82.0,28.0,Bizarre Creations,E
NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1.62,0.26,0.05,0.18,2.11,90.0,38.0,67.0,127.0,Visual Concepts,E
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11,89.0,31.0,85.0,92.0,Black Box,E
Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,78.0,24.0,93.0,201.0,Omega Force,T
NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84.0,26.0,49.0,142.0,Visual Concepts,E
Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81.0,17.0,89.0,89.0,SquareSoft,M
Tetris DS,DS,2006,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84.0,56.0,87.0,44.0,Nintendo,E
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73.0,46.0,50.0,845.0,Visceral Games,M
Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.31,0.0,0.16,2.1,86.0,66.0,83.0,382.0,NetherRealm Studios,M
Borderlands,PS3,2009,Shooter,Take-Two Interactive,1.2,0.6,0.0,0.29,2.09,83.0,58.0,79.0,427.0,Gearbox Software,M
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84.0,60.0,90.0,212.0,Capcom,M
NBA 2K11,X360,2010,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09,89.0,50.0,81.0,100.0,Visual Concepts,E
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.0,58.0,79.0,1287.0,Techland,M
Dead Rising,X360,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85.0,82.0,76.0,520.0,Capcom,M
World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,90.0,53.0,56.0,953.0,Blizzard Entertainment,T
Tetris Worlds,PS2,2002,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,44.0,7.0,62.0,11.0,Blue Planet Software,E
Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77.0,45.0,71.0,136.0,Matrix Software,E10+
Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,69.0,33.0,82.0,57.0,Hudson,E
Portal 2,X360,2011,Shooter,Valve Software,1.41,0.49,0.01,0.17,2.08,95.0,66.0,85.0,997.0,Valve Software,E10+
Mario Sports Mix,Wii,2010,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,64.0,54.0,71.0,34.0,Square Enix,E
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,72.0,21.0,78.0,54.0,EA Canada,E10+
The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.93,0.0,0.22,2.07,49.0,5.0,52.0,24.0,Full Fat,E
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.35,0.52,0.0,0.19,2.07,73.0,16.0,71.0,27.0,Konami,E10+
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71.0,85.0,61.0,1571.0,Evolution Studios,E
UFC 2009 Undisputed,X360,2009,Fighting,THQ,1.48,0.39,0.0,0.19,2.06,83.0,68.0,79.0,51.0,Yuke's,T
Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06,89.0,66.0,89.0,443.0,Kojima Productions,T
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82.0,62.0,86.0,208.0,Square Enix,E10+
SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,92.0,41.0,88.0,120.0,Namco,T
Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,1.04,0.79,0.01,0.21,2.05,72.0,42.0,71.0,78.0,EA Black Box,E10+
Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,75.0,26.0,88.0,41.0,Sonic Team,E
Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,0.63,1.0,0.05,0.38,2.05,59.0,40.0,59.0,71.0,EA Vancouver,T
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,72.0,38.0,90.0,34.0,Zipper Interactive,T
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,82.0,41.0,82.0,68.0,Ubisoft Montpellier,T
Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,0.73,0.91,0.04,0.36,2.04,73.0,26.0,60.0,43.0,EA Black Box,E10+
Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,78.0,26.0,89.0,53.0,Rare Ltd.,E
Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.41,0.01,0.16,2.04,86.0,56.0,82.0,63.0,Harmonix Music Systems,T
Carnival Games,DS,2008,Misc,Take-Two Interactive,1.21,0.63,0.0,0.19,2.03,48.0,11.0,33.0,4.0,Cat Daddy Games,E
NBA Live 2004,PS2,2003,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,86.0,19.0,77.0,41.0,EA Sports,E
Call of Duty 2,X360,2005,Shooter,Activision,1.82,0.04,0.01,0.16,2.03,89.0,65.0,81.0,307.0,Infinity Ward,T
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.72,1.08,0.0,0.23,2.03,73.0,24.0,77.0,29.0,"Ubisoft Paris, Ubisoft Montpellier",E10+
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.15,0.04,0.83,0.0,2.02,62.0,34.0,81.0,97.0,ChunSoft,E
Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,0.75,0.51,0.54,0.22,2.02,89.0,54.0,87.0,1397.0,From Software,M
Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.39,0.0,0.16,2.02,70.0,34.0,77.0,17.0,Ubisoft,E10+
Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0.0,0.19,2.02,81.0,5.0,66.0,480.0,EA DICE,M
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.01,92.0,72.0,91.0,1130.0,Intelligent Systems,T
Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.04,0.03,0.36,2.01,64.0,48.0,64.0,182.0,Black Box,T
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89.0,43.0,74.0,1984.0,BioWare,M
Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.66,0.0,0.29,2.0,88.0,67.0,88.0,545.0,EA Redwood Shores,M
Mortal Kombat vs. DC Universe,PS3,2008,Fighting,Midway Games,1.48,0.28,0.0,0.23,2.0,76.0,44.0,71.0,107.0,Midway,T
TouchMaster,DS,2007,Puzzle,Midway Games,0.48,1.27,0.0,0.24,2.0,71.0,19.0,57.0,9.0,Midway Studios - San Diego,E10+
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,87.0,14.0,88.0,45.0,Acquire,M
Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,76.0,11.0,79.0,14.0,Eurocom Entertainment Software,E
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,1.06,0.26,0.53,0.13,1.98,75.0,53.0,78.0,162.0,h.a.n.d. Inc.,E10+
Skate 3,PS3,2010,Sports,Electronic Arts,0.79,0.88,0.0,0.32,1.98,80.0,46.0,76.0,82.0,EA Black Box,T
Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80.0,53.0,62.0,667.0,Ghost Games,E10+
Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97,56.0,20.0,41.0,95.0,Check Six Games,E
Devil May Cry 2,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97,68.0,40.0,66.0,167.0,Capcom,M
Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,81.0,57.0,87.0,34.0,Clap Hanz,E10+
Forza Horizon,X360,2012,Racing,Microsoft Game Studios,0.82,0.93,0.04,0.18,1.96,85.0,83.0,84.0,431.0,"PLAYGROUND, Playground Games",T
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.95,88.0,69.0,83.0,225.0,Ubisoft Montreal,M
Crash Nitro Kart,PS2,2003,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95,69.0,24.0,77.0,59.0,Vicarious Visions,E
