continent,country,income,life_exp,population,year
americas,Puerto Rico,1704.0,30.43,573538,1859
europe,Poland,1519.0,35.9,14615467,1859
asia,Pakistan,1025.0,25.8,15518506,1859
africa,Ghana,729.0,28.0,1666202,1859
europe,Germany,2396.0,38.37,35633000,1859
asia,Samoa,1603.0,25.4,44024,1859
europe,Greece,1881.0,36.6,3306000,1859
africa,Gabon,394.0,30.6,219204,1859
asia,Fiji,899.0,26.1,134018,1859
africa,Ethiopia,531.0,29.7,5110416,1859
americas,Nicaragua,1477.0,25.4,372862,1859
europe,Luxembourg,2310.0,36.9,163728,1859
africa,Djibouti,906.0,29.9,30826,1859
americas,Dominica,865.0,,24627,1859
europe,Lithuania,1673.0,28.9,1113755,1859
europe,Denmark,3089.0,44.42,1674000,1859
africa,St. Helena,,,6723,1859
europe,Isle of Man,,,30401,1859
europe,Cyprus,1357.0,38.51,185562,1859
africa,"Congo, Rep.",679.0,32.7,417330,1859
americas,Montserrat,,,7497,1859
africa,Comoros,739.0,32.1,76528,1859
africa,Guinea-Bissau,804.0,32.0,282810,1859
asia,Kuwait,1368.0,26.0,81280,1859
africa,Angola,800.0,26.98,2078665,1859
africa,Liberia,887.0,31.1,431801,1859
asia,Cambodia,960.0,35.0,2282551,1859
africa,Malawi,353.0,30.3,737000,1859
europe,Latvia,989.0,33.0,844973,1859
europe,Netherlands,4436.0,30.86,3304000,1859
asia,India,1056.0,25.44,203471019,1859
asia,Palau,960.0,,4713,1859
americas,Guadeloupe,,27.66,107541,1859
asia,Northern Mariana Islands,,,4187,1859
europe,Armenia,599.0,34.0,589988,1859
africa,Botswana,481.0,33.6,121000,1859
europe,Portugal,1647.0,35.6,3963000,1859
europe,Azerbaijan,966.0,29.17,1257950,1859
africa,Tanzania,626.0,32.2,3465787,1859
asia,Australia,4912.0,34.05,1279000,1859
americas,Bermuda,1601.0,,11793,1859
europe,Sweden,1992.0,44.27,3735679,1859
americas,Bahamas,1885.0,35.18,33472,1859
africa,Gambia,843.0,28.8,137995,1859
americas,El Salvador,1356.0,28.7,418118,1859
europe,Andorra,1968.0,,3423,1859
asia,Afghanistan,690.0,27.61,3982821,1859
asia,Bangladesh,879.0,25.5,23594898,1859
asia,Guam,,27.5,27118,1859
americas,Cayman Islands,1355.0,,3330,1859
europe,Austria,3175.0,34.4,4206000,1859
americas,Costa Rica,1202.0,30.21,112835,1859
africa,Algeria,1122.0,28.82,3504249,1859
africa,Mauritius,1138.0,31.68,288506,1859
asia,Qatar,1368.0,30.8,14092,1859
europe,Greenland,598.0,33.87,12462,1859
asia,Japan,1164.0,36.42,33074545,1859
africa,Eritrea,589.0,30.2,343133,1859
americas,Chile,1594.0,32.0,1634242,1859
asia,Tokelau,,,828,1859
asia,United Arab Emirates,1244.0,30.7,40153,1859
europe,Georgia,655.0,31.87,1532529,1859
americas,Trinidad and Tobago,1524.0,38.8,97440,1859
americas,Argentina,2628.0,33.2,1371525,1859
americas,Barbados,1191.0,32.12,149438,1859
asia,Philippines,1022.0,30.9,3660623,1859
africa,South Sudan,614.0,26.67,1254607,1859
africa,Central African Republic,513.0,30.0,577526,1859
americas,Grenada,1134.0,37.3,32198,1859
asia,Bhutan,682.0,28.8,108597,1859
americas,Antigua and Barbuda,987.0,33.54,37000,1859
asia,China,1007.0,28.14,380361837,1859
europe,Norway,1963.0,49.93,1570000,1859
americas,St. Kitts and Nevis,1519.0,,23115,1859
asia,Bahrain,1696.0,30.3,64474,1859
africa,Cote d'Ivoire,1029.0,31.16,1418344,1859
africa,Benin,722.0,31.0,930345,1859
europe,Belarus,771.0,36.2,3365973,1859
americas,Venezuela,813.0,32.2,1463057,1859
africa,Cameroon,758.0,28.75,2088288,1859
europe,Croatia,1787.0,36.1,1730051,1859
americas,Bolivia,1239.0,33.0,1427188,1859
americas,Canada,2385.0,41.49,3268011,1859
asia,Indonesia,1057.0,30.0,24127861,1859
europe,Bosnia and Herzegovina,785.0,35.1,1198854,1859
asia,"Micronesia, Fed. Sts.",537.0,26.7,20055,1859
europe,France,2902.0,35.26,37240000,1859
africa,Seychelles,1000.0,37.0,14327,1859
americas,Cuba,1713.0,36.6,1356023,1859
asia,Maldives,842.0,32.65,53186,1859
americas,Brazil,1323.0,31.99,8291824,1859
americas,Ecuador,681.0,32.9,899402,1859
americas,Aruba,1086.0,34.42,23650,1859
europe,Albania,731.0,35.4,543972,1859
europe,Czech Republic,2541.0,34.95,6362462,1859
europe,Bulgaria,1324.0,38.4,2538340,1859
africa,Burkina Faso,503.0,29.2,2211239,1859
americas,Guyana,1583.0,31.12,217208,1859
africa,Cape Verde,627.0,33.8,78951,1859
americas,Guatemala,1180.0,25.81,946719,1859
africa,Guinea,489.0,30.11,1387476,1859
asia,Brunei,1731.0,29.2,4734,1859
americas,Haiti,945.0,29.0,1028077,1859
asia,"Hong Kong, China",1102.0,34.9,59654,1859
americas,Mexico,1268.0,26.9,8327141,1859
asia,Tajikistan,699.0,24.24,666524,1859
europe,Hungary,1698.0,36.0,5488445,1859
europe,Iceland,1419.0,29.67,79151,1859
africa,Mozambique,404.0,30.28,2935505,1859
asia,Iran,1055.0,25.6,7966381,1859
asia,Iraq,1140.0,31.2,1456964,1859
europe,Ireland,2529.0,38.3,4171013,1859
asia,American Samoa,,,7604,1859
asia,Israel,887.0,32.0,226005,1859
americas,Anguilla,,,2675,1859
europe,Italy,2417.0,29.69,25914000,1859
africa,Burundi,441.0,31.5,1215483,1859
americas,Jamaica,910.0,34.2,441246,1859
europe,Finland,1586.0,38.5,1726000,1859
asia,Jordan,1148.0,31.7,254348,1859
africa,Chad,506.0,30.9,1432000,1859
americas,Honduras,1113.0,33.9,373344,1859
africa,Kenya,1027.0,25.5,2574000,1859
europe,Ukraine,1005.0,36.6,16083376,1859
asia,Kiribati,580.0,24.9,20025,1859
africa,Equatorial Guinea,385.0,29.8,91480,1859
asia,Tonga,758.0,28.2,18761,1859
americas,Dominican Republic,826.0,29.9,183278,1859
americas,Turks and Caicos Islands,635.0,,4324,1859
europe,Moldova,770.0,33.15,1018110,1859
europe,Spain,1823.0,29.5,15584000,1859
europe,Belgium,4062.0,38.98,4710000,1859
asia,Kyrgyz Republic,717.0,23.94,757451,1859
asia,Lao,951.0,31.9,680237,1859
europe,Slovenia,1870.0,36.6,661790,1859
africa,Lesotho,406.0,32.8,370452,1859
asia,Lebanon,1435.0,29.7,439728,1859
africa,"Congo, Dem. Rep.",618.0,31.6,6680563,1859
europe,Romania,1394.0,35.7,8510546,1859
africa,Egypt,950.0,33.0,6288075,1859
africa,Libya,1698.0,33.1,653542,1859
americas,Falkland Is (Malvinas),,,132,1859
europe,Turkey,1506.0,35.0,11391250,1859
asia,"Macao, China",1136.0,34.7,77730,1859
europe,Malta,1120.0,28.7,172736,1859
europe,"Macedonia, FYR",916.0,36.1,552249,1859
africa,Madagascar,693.0,30.5,2195687,1859
asia,Solomon Islands,418.0,25.1,67951,1859
africa,Mali,612.0,26.41,2008702,1859
asia,Marshall Islands,559.0,,7414,1859
europe,San Marino,1639.0,,7076,1859
africa,Mauritania,639.0,32.0,450094,1859
asia,Uzbekistan,568.0,26.93,2743273,1859
americas,United States,3617.0,39.41,31012051,1859
asia,Nepal,660.0,32.8,4504429,1859
asia,Mongolia,634.0,31.8,656897,1859
europe,Montenegro,1403.0,35.4,178567,1859
africa,Morocco,767.0,33.1,3504249,1859
asia,Myanmar,847.0,30.8,4069887,1859
americas,Belize,755.0,26.5,25977,1859
africa,Namibia,970.0,32.4,229000,1859
asia,Nauru,670.0,,2116,1859
europe,Estonia,1235.0,39.08,477840,1859
asia,Kazakhstan,1502.0,26.2,2916170,1859
asia,New Zealand,3439.0,34.05,127040,1859
africa,Niger,540.0,30.8,1527413,1859
africa,Nigeria,1053.0,30.4,14295067,1859
asia,Oman,1080.0,32.3,355610,1859
asia,North Korea,545.0,26.0,4473944,1859
asia,Palestine,1231.0,32.1,178631,1859
americas,Peru,1338.0,35.7,2253587,1859
americas,Panama,1319.0,32.9,152112,1859
asia,Papua New Guinea,625.0,31.5,964453,1859
europe,Monaco,3148.0,,10336,1859
asia,Malaysia,1083.0,30.6,637885,1859
americas,Paraguay,1364.0,35.5,364911,1859
americas,Colombia,1068.0,32.0,2206219,1859
americas,St.-Pierre-et-Miquelon,,,2381,1860
africa,St. Helena,,,6811,1860
asia,Northern Mariana Islands,,,4211,1860
americas,Montserrat,,,7548,1860
europe,Liechtenstein,,,7567,1860
europe,Isle of Man,,,30601,1860
europe,Gibraltar,,,12361,1860
europe,Faeroe Islands,,,17555,1860
europe,Channel Islands,,,56949,1860
asia,Niue,,,4516,1860
asia,American Samoa,,,7550,1860
africa,Western Sahara,,34.75,4557,1860
americas,Virgin Islands (U.S.),,33.4,38000,1860
africa,Reunion,,33.0,125540,1860
asia,Guam,,27.5,26445,1860
asia,Tokelau,,,811,1860
africa,Zambia,767.0,32.6,747000,1860
asia,Yemen,1039.0,23.39,2788786,1860
asia,Vietnam,840.0,32.0,9574988,1860
americas,Falkland Is (Malvinas),,,137,1860
americas,Uruguay,4505.0,32.9,212782,1860
europe,United Kingdom,5268.0,43.01,24746160,1860
asia,United Arab Emirates,1248.0,30.7,40153,1860
europe,Ukraine,1012.0,36.6,16232730,1860
africa,Uganda,564.0,25.3,2399986,1860
europe,Turkey,1514.0,35.0,11427200,1860
africa,Tunisia,870.0,28.8,1108479,1860
americas,Guadeloupe,,27.66,108335,1860
asia,Timor-Leste,587.0,28.95,213403,1860
asia,Thailand,990.0,30.4,5495748,1860
africa,Tanzania,628.0,32.2,3478051,1860
asia,Tajikistan,703.0,24.24,672645,1860
asia,Taiwan,1005.0,28.3,2271343,1860
asia,Syria,1140.0,31.1,1529648,1860
europe,Switzerland,4362.0,38.0,2510000,1860
europe,Holy See,,,905,1860
americas,Turks and Caicos Islands,639.0,,4354,1860
asia,Tuvalu,825.0,,3125,1860
americas,St. Lucia,1000.0,28.01,26684,1860
americas,United States,3714.0,39.41,31838901,1860
africa,South Sudan,617.0,26.67,1260197,1860
asia,South Korea,542.0,25.8,9648439,1860
asia,Solomon Islands,419.0,25.1,68258,1860
europe,Slovenia,1877.0,36.6,667635,1860
asia,Singapore,1120.0,34.0,68586,1860
americas,British Virgin Islands,,,6700,1860
africa,Senegal,605.0,25.2,1320834,1860
asia,Saudi Arabia,901.0,32.1,2286369,1860
europe,San Marino,1652.0,,7122,1860
africa,Mayotte,,32.5,9919,1860
asia,Samoa,1608.0,25.4,43715,1860
africa,Rwanda,465.0,31.8,1188545,1860
americas,Venezuela,817.0,32.2,1479382,1860
europe,Kosovo,,,544938,1860
africa,Somalia,735.0,29.4,1285871,1860
europe,Romania,1413.0,35.7,8569247,1860
asia,Qatar,1373.0,30.8,14092,1860
europe,Portugal,1637.0,35.6,4000000,1860
europe,Poland,1525.0,35.9,14806924,1860
americas,Grenada,1139.0,37.3,32099,1860
africa,Gambia,843.0,28.8,139024,1860
asia,Maldives,842.0,32.65,53496,1860
africa,Gabon,394.0,30.6,221044,1860
europe,Belarus,775.0,36.2,3396938,1860
europe,Georgia,658.0,31.87,1546631,1860
asia,Myanmar,848.0,30.8,4085504,1860
americas,Bahamas,1897.0,35.18,34228,1860
africa,Ethiopia,531.0,29.7,5182972,1860
americas,Cuba,1733.0,36.24,1376359,1860
americas,Ecuador,685.0,32.9,909180,1860
asia,"Hong Kong, China",1105.0,34.9,63710,1860
europe,Czech Republic,2551.0,34.95,6385785,1860
asia,Tonga,761.0,28.2,18791,1860
americas,Argentina,2666.0,33.2,1405560,1860
africa,Seychelles,1004.0,37.0,14376,1860
africa,South Africa,1626.0,33.5,2306160,1860
europe,Sweden,2029.0,48.47,3792612,1860
africa,Madagascar,697.0,30.5,2210709,1860
africa,Cote d'Ivoire,1033.0,31.16,1428002,1860
europe,Germany,2509.0,38.37,36049000,1860
europe,Belgium,4240.0,45.12,4740000,1860
asia,Afghanistan,692.0,27.6,4002698,1860
asia,Bhutan,683.0,28.8,109122,1860
americas,Dominica,871.0,,24813,1860
africa,"Congo, Rep.",681.0,32.7,420370,1860
europe,France,3086.0,43.33,37300000,1860
americas,Anguilla,,,2694,1860
africa,Liberia,890.0,31.1,435359,1860
asia,Jordan,1153.0,31.7,255386,1860
asia,Palau,964.0,,4737,1860
asia,"Macao, China",1140.0,34.7,85000,1860
africa,"Congo, Dem. Rep.",621.0,31.6,6724822,1860
africa,Ghana,730.0,28.0,1658079,1860
americas,St. Vincent and the Grenadines,1100.0,25.99,31794,1860
asia,Pakistan,1025.0,25.8,15569610,1860
americas,Colombia,1071.0,32.0,2222494,1860
asia,New Caledonia,,26.0,37526,1860
europe,Cyprus,1373.0,38.51,185582,1860
africa,Sierra Leone,893.0,25.1,1037987,1860
americas,Chile,1632.0,32.0,1660659,1860
asia,Iraq,1145.0,31.2,1467742,1860
africa,Equatorial Guinea,385.0,29.8,91784,1860
americas,Barbados,1199.0,32.12,151208,1860
africa,Chad,509.0,30.9,1432000,1860
asia,Australia,4795.0,34.05,1326000,1860
africa,Swaziland,596.0,32.3,86000,1860
africa,Egypt,954.0,33.0,6353714,1860
africa,Eritrea,591.0,30.2,347695,1860
asia,Turkmenistan,1250.0,24.0,530120,1860
americas,Netherlands Antilles,,34.41,57250,1860
asia,Bahrain,1715.0,30.3,64474,1860
americas,Haiti,954.0,29.0,1038605,1860
asia,Cambodia,961.0,35.0,2287715,1860
europe,Greece,1888.0,36.6,3336000,1860
africa,Namibia,984.0,32.4,229000,1860
europe,Austria,3206.0,34.4,4235000,1860
americas,Mexico,1265.0,26.9,8404521,1860
americas,Aruba,1093.0,34.42,23774,1860
asia,China,1023.0,28.85,377000002,1860
asia,Vanuatu,672.0,24.3,32816,1860
asia,Marshall Islands,559.0,,7460,1860
africa,Central African Republic,516.0,30.0,580289,1860
europe,Serbia,1809.0,35.5,3051941,1860
americas,Brazil,1358.0,31.99,8418521,1860
asia,Israel,887.0,32.0,227862,1860
africa,Benin,726.0,31.0,939441,1860
africa,Angola,804.0,26.98,2093779,1860
asia,Kyrgyz Republic,724.0,23.94,764405,1860
europe,Spain,1878.0,29.5,15642000,1860
europe,Andorra,1992.0,,3445,1860
africa,Malawi,353.0,30.3,737000,1860
africa,Algeria,1134.0,28.82,3528123,1860
europe,Finland,1594.0,38.15,1738000,1860
africa,Djibouti,909.0,29.9,31063,1860
asia,India,1056.0,23.0,204248535,1860
europe,Croatia,1794.0,36.1,1745327,1860
asia,Kiribati,581.0,24.9,20084,1860
europe,Lithuania,1684.0,28.9,1124024,1860
europe,Greenland,604.0,33.87,12546,1860
asia,Wallis et Futuna,,,4520,1860
asia,Kuwait,1373.0,26.0,81280,1860
europe,Iceland,1435.0,19.76,79667,1860
americas,Bolivia,1250.0,33.0,1433224,1860
americas,Belize,760.0,26.5,25988,1860
africa,Togo,830.0,31.3,633505,1860
americas,Dominican Republic,831.0,29.9,187968,1860
africa,Sudan,631.0,31.4,4899287,1860
africa,Cape Verde,629.0,33.8,79660,1860
americas,Bermuda,1612.0,,11896,1860
europe,Slovak Republic,1900.0,36.4,2476288,1860
asia,Bangladesh,880.0,25.5,23695115,1860
asia,Fiji,902.0,26.1,133691,1860
europe,Albania,733.0,35.4,549090,1860
americas,Jamaica,909.0,34.2,446207,1860
europe,Russia,1896.0,29.57,44904025,1860
europe,Bosnia and Herzegovina,786.0,35.1,1209406,1860
europe,Azerbaijan,971.0,29.17,1269530,1860
americas,Canada,2406.0,41.54,3369000,1860
asia,Nepal,660.0,32.8,4521692,1860
asia,Brunei,1737.0,29.2,4832,1860
europe,Bulgaria,1330.0,38.44,2542636,1860
africa,Comoros,740.0,32.1,77131,1860
asia,Cook Is,,,14261,1860
africa,Guinea,490.0,30.12,1399756,1860
africa,Cameroon,762.0,28.75,2094495,1860
africa,Sao Tome and Principe,950.0,31.0,30642,1860
africa,Botswana,483.0,33.6,121000,1860
europe,Latvia,996.0,33.0,852769,1860
asia,"Micronesia, Fed. Sts.",537.0,26.7,20159,1860
americas,Guatemala,1190.0,25.81,958123,1860
americas,St. Kitts and Nevis,1529.0,,23290,1860
americas,Martinique,,30.15,113315,1860
americas,Guyana,1594.0,31.12,218710,1860
asia,Nauru,674.0,,2123,1860
europe,Hungary,1711.0,36.0,5526087,1860
asia,Indonesia,1058.0,30.0,24407066,1860
africa,Burkina Faso,503.0,29.2,2227370,1860
asia,Iran,1057.0,25.6,8006156,1860
europe,Monaco,3184.0,,10411,1860
europe,Montenegro,1409.0,35.4,180150,1860
americas,Puerto Rico,1713.0,30.43,583000,1860
europe,Ireland,2565.0,38.56,4141840,1860
europe,Italy,2403.0,29.69,26081000,1860
europe,Armenia,601.0,34.0,595396,1860
asia,Japan,1168.0,36.42,33196144,1860
americas,Trinidad and Tobago,1533.0,38.8,99599,1860
asia,Kazakhstan,1511.0,26.2,2942963,1860
africa,Kenya,1030.0,25.5,2574000,1860
africa,Zimbabwe,934.0,33.7,1444708,1860
asia,Lao,954.0,31.9,686716,1860
europe,Denmark,3029.0,45.11,1696000,1860
americas,Cayman Islands,1364.0,,3357,1860
africa,Libya,1719.0,33.1,656810,1860
africa,Guinea-Bissau,805.0,32.0,284698,1860
europe,Luxembourg,2338.0,36.9,164797,1860
asia,French Polynesia,,25.6,53621,1860
americas,Costa Rica,1215.0,30.21,114233,1860
asia,Malaysia,1085.0,30.6,651153,1860
africa,Burundi,442.0,31.5,1224917,1860
asia,Philippines,1023.0,30.9,3722957,1860
americas,Antigua and Barbuda,994.0,33.54,37000,1860
americas,French Guiana,,30.5,13241,1860
europe,Malta,1131.0,28.7,173861,1860
africa,Mauritania,642.0,32.0,451970,1860
africa,Mauritius,1144.0,30.96,303845,1860
europe,"Macedonia, FYR",919.0,36.1,557129,1860
europe,Moldova,774.0,33.15,1027468,1860
asia,Mongolia,635.0,31.8,657899,1860
asia,Uzbekistan,570.0,26.93,2768518,1860
africa,Morocco,769.0,33.1,3528123,1860
europe,Norway,2033.0,50.0,1596000,1860
africa,Mozambique,404.0,30.28,2960969,1860
europe,Netherlands,4642.0,36.91,3318000,1860
asia,Palestine,1231.0,32.1,180099,1860
asia,New Zealand,3674.0,34.05,132000,1860
americas,Nicaragua,1492.0,25.4,375037,1860
africa,Lesotho,407.0,32.8,373246,1860
africa,Niger,543.0,30.8,1535445,1860
europe,Estonia,1243.0,39.0,482243,1860
africa,Nigeria,1058.0,30.4,14356277,1860
asia,Sri Lanka,1142.0,32.6,2485269,1860
asia,North Korea,545.0,26.0,4477300,1860
africa,Mali,613.0,26.41,2027257,1860
asia,Oman,1084.0,32.3,356630,1860
americas,Suriname,2149.0,32.9,109117,1860
asia,Lebanon,1445.0,29.7,442908,1860
americas,Panama,1333.0,32.9,154143,1860
americas,Honduras,1127.0,33.9,376032,1860
asia,Papua New Guinea,627.0,31.5,970531,1860
americas,Paraguay,1381.0,35.5,366606,1860
americas,Peru,1341.0,35.7,2283551,1860
americas,El Salvador,1367.0,28.7,424349,1860
asia,Wallis et Futuna,,,4542,1861
americas,St.-Pierre-et-Miquelon,,,2399,1861
asia,Niue,,,4518,1861
europe,Kosovo,,,549736,1861
europe,Holy See,,,905,1861
europe,Gibraltar,,,12431,1861
europe,Faeroe Islands,,,17669,1861
europe,Channel Islands,,,57320,1861
americas,British Virgin Islands,,,6700,1861
europe,Liechtenstein,,,7618,1861
americas,Virgin Islands (U.S.),,33.4,38000,1861
asia,New Caledonia,,26.0,37755,1861
americas,Netherlands Antilles,,34.41,57676,1861
africa,Mayotte,,32.5,9966,1861
americas,Martinique,,30.15,114165,1861
asia,French Polynesia,,25.6,52848,1861
americas,French Guiana,,30.5,13338,1861
africa,Zimbabwe,935.0,33.7,1455059,1861
africa,Zambia,769.0,32.6,747000,1861
asia,Vietnam,839.0,32.0,9666271,1861
asia,Vanuatu,675.0,24.3,32952,1861
americas,Uruguay,4612.0,32.9,223188,1861
europe,United Kingdom,5204.0,42.38,25009641,1861
asia,United Arab Emirates,1253.0,30.7,40153,1861
africa,Uganda,567.0,25.3,2407971,1861
asia,Turkmenistan,1258.0,24.0,535008,1861
africa,Tunisia,874.0,28.8,1115053,1861
africa,Togo,834.0,31.3,639088,1861
asia,Timor-Leste,588.0,28.95,215770,1861
asia,Thailand,991.0,30.4,5523055,1861
asia,Syria,1141.0,31.1,1534804,1861
europe,Switzerland,4647.0,38.0,2524000,1861
africa,Swaziland,598.0,32.3,86000,1861
americas,Suriname,2163.0,32.9,109943,1861
africa,Sudan,634.0,31.4,4921117,1861
americas,St. Lucia,1003.0,28.01,27000,1861
africa,Western Sahara,,34.75,4613,1861
africa,South Africa,1531.0,33.5,2329182,1861
asia,Taiwan,1005.0,28.3,2278604,1861
asia,Singapore,1122.0,34.0,69990,1861
africa,Sierra Leone,897.0,25.1,1044955,1861
europe,Serbia,1816.0,35.5,3078887,1861
africa,Senegal,608.0,25.2,1329728,1861
asia,Yemen,1042.0,23.39,2793865,1861
asia,Saudi Arabia,902.0,32.1,2291481,1861
africa,Sao Tome and Principe,952.0,31.0,30872,1861
asia,Tuvalu,828.0,,3142,1861
africa,Rwanda,466.0,31.8,1195909,1861
europe,Russia,1909.0,29.57,45318700,1861
europe,Romania,1433.0,35.7,8628354,1861
americas,Puerto Rico,1723.0,30.43,588922,1861
europe,Poland,1530.0,35.9,15000889,1861
europe,Greece,1895.0,36.6,3367000,1861
asia,Pakistan,1025.0,25.8,15620882,1861
europe,Lithuania,1695.0,28.9,1134387,1861
africa,Ghana,731.0,28.0,1649996,1861
europe,Germany,2423.0,38.37,36435000,1861
asia,Samoa,1614.0,25.4,43409,1861
africa,Gambia,844.0,28.8,140061,1861
africa,Gabon,394.0,30.6,222899,1861
asia,Fiji,905.0,26.1,133365,1861
americas,Nicaragua,1508.0,25.4,377224,1861
africa,Ethiopia,532.0,29.7,5256559,1861
africa,Djibouti,912.0,29.9,31303,1861
europe,Luxembourg,2365.0,36.9,165873,1861
europe,Sweden,1949.0,47.12,3860352,1861
europe,Denmark,3044.0,47.65,1717000,1861
africa,St. Helena,,,6900,1861
europe,Isle of Man,,,30802,1861
africa,"Congo, Rep.",683.0,32.7,423431,1861
asia,South Korea,541.0,25.8,9658845,1861
americas,Montserrat,,,7600,1861
africa,Comoros,741.0,32.1,77739,1861
africa,Guinea-Bissau,806.0,32.0,286599,1861
asia,Kuwait,1378.0,26.0,81280,1861
americas,Bermuda,1622.0,,12000,1861
africa,Angola,807.0,26.98,2109003,1861
americas,Colombia,1073.0,32.0,2238890,1861
africa,Liberia,892.0,31.1,438946,1861
asia,Cambodia,963.0,35.0,2292891,1861
americas,Chile,1617.0,32.0,1687416,1861
europe,Latvia,1002.0,33.33,860637,1861
africa,Somalia,735.0,29.4,1293980,1861
asia,Palau,967.0,,4760,1861
americas,Anguilla,,,2713,1861
asia,India,1056.0,22.0,205029022,1861
americas,Guadeloupe,,27.66,109135,1861
europe,Armenia,603.0,34.0,600854,1861
asia,Northern Mariana Islands,,,4235,1861
africa,Mauritius,1149.0,31.24,320000,1861
americas,Bahamas,1910.0,35.18,35000,1861
americas,Turks and Caicos Islands,643.0,,4384,1861
africa,Botswana,486.0,33.6,121000,1861
europe,Portugal,1626.0,35.6,4074000,1861
europe,Azerbaijan,976.0,29.17,1281216,1861
asia,Australia,4723.0,34.05,1346000,1861
africa,Tanzania,629.0,32.2,3490358,1861
europe,Netherlands,4506.0,36.44,3340000,1861
europe,Georgia,661.0,31.87,1560862,1861
europe,Greenland,611.0,33.87,12631,1861
asia,Bangladesh,880.0,25.5,23795758,1861
americas,Aruba,1101.0,34.42,23899,1861
europe,Andorra,2015.0,,3468,1861
europe,Slovak Republic,1908.0,36.4,2485322,1861
asia,Afghanistan,695.0,27.59,4022673,1861
europe,Cyprus,1390.0,38.51,185602,1861
americas,El Salvador,1379.0,28.7,430673,1861
europe,Austria,3229.0,34.4,4263000,1861
americas,Costa Rica,1229.0,30.21,115648,1861
americas,Cayman Islands,1374.0,,3384,1861
asia,Myanmar,848.0,30.8,4101180,1861
americas,St. Kitts and Nevis,1539.0,,23467,1861
africa,Eritrea,592.0,30.2,352317,1861
asia,Qatar,1378.0,30.8,14092,1861
europe,Bosnia and Herzegovina,786.0,35.1,1220051,1861
americas,Dominica,877.0,,25000,1861
africa,Cameroon,765.0,28.75,2100720,1861
asia,Tokelau,,,794,1861
americas,Argentina,2704.0,33.2,1440440,1861
asia,Guam,,27.5,25789,1861
americas,Trinidad and Tobago,1541.0,38.8,101806,1861
africa,South Sudan,620.0,26.67,1265812,1861
americas,Barbados,1208.0,32.12,153000,1861
africa,Central African Republic,518.0,30.0,583065,1861
asia,Philippines,1025.0,30.9,3786353,1861
americas,Grenada,1144.0,37.3,32000,1861
asia,Sri Lanka,1166.0,32.6,2513820,1861
africa,Egypt,958.0,33.0,6420039,1861
americas,Antigua and Barbuda,1000.0,33.54,37000,1861
asia,Bhutan,684.0,28.8,109649,1861
asia,China,1044.0,29.56,375055480,1861
asia,Palestine,1232.0,32.1,181994,1861
europe,Norway,1978.0,45.81,1614000,1861
asia,Bahrain,1735.0,30.3,64474,1861
africa,Algeria,1146.0,28.82,3552160,1861
africa,Benin,729.0,31.0,948627,1861
africa,Nigeria,1063.0,30.4,14417750,1861
americas,St. Vincent and the Grenadines,1108.0,25.99,32000,1861
europe,Croatia,1801.0,36.1,1760738,1861
americas,Canada,2444.0,41.6,3408094,1861
americas,Bolivia,1262.0,33.0,1439285,1861
europe,Czech Republic,2561.0,34.95,6409193,1861
africa,Cote d'Ivoire,1037.0,31.16,1437725,1861
europe,Belarus,780.0,36.2,3428188,1861
asia,Indonesia,1060.0,30.0,24689502,1861
americas,Cuba,1753.0,35.88,1397000,1861
africa,Seychelles,1008.0,37.0,14426,1861
asia,"Micronesia, Fed. Sts.",538.0,26.7,20262,1861
asia,Maldives,842.0,32.65,53809,1861
asia,Cook Is,,,14098,1861
americas,Brazil,1346.0,31.99,8547154,1861
americas,Ecuador,690.0,32.9,919064,1861
europe,Albania,735.0,35.4,554257,1861
asia,Nepal,660.0,32.8,4539021,1861
europe,Bulgaria,1337.0,38.48,2546940,1861
africa,Burkina Faso,504.0,29.2,2243619,1861
americas,Guyana,1605.0,31.12,220221,1861
europe,France,3147.0,40.45,37390000,1861
americas,Venezuela,820.0,32.2,1495890,1861
africa,Cape Verde,632.0,33.8,80375,1861
americas,Guatemala,1200.0,25.81,969665,1861
asia,Brunei,1743.0,29.2,4932,1861
americas,Haiti,964.0,29.0,1049241,1861
asia,"Hong Kong, China",1107.0,34.9,68042,1861
americas,Mexico,1262.0,26.9,8482621,1861
asia,Tajikistan,707.0,24.24,678822,1861
europe,Hungary,1724.0,36.0,5563987,1861
europe,Iceland,1450.0,27.09,80186,1861
africa,Mozambique,405.0,30.28,2986654,1861
asia,Iran,1059.0,25.6,8046130,1861
asia,Iraq,1150.0,31.2,1478599,1861
europe,Ireland,2602.0,38.83,4118359,1861
asia,American Samoa,,,7497,1861
asia,Israel,887.0,32.0,230259,1861
europe,Italy,2389.0,29.69,26249000,1861
africa,Burundi,442.0,31.5,1234423,1861
americas,Jamaica,908.0,34.2,451225,1861
asia,Japan,1172.0,36.42,33318191,1861
europe,Finland,1592.0,38.02,1754000,1861
americas,Honduras,1142.0,33.9,378739,1861
africa,Chad,511.0,30.9,1432000,1861
asia,Jordan,1158.0,31.7,256428,1861
africa,Reunion,,33.0,126494,1861
africa,Kenya,1033.0,25.5,2574000,1861
europe,Ukraine,1018.0,36.6,16383470,1861
asia,Kiribati,581.0,24.9,20142,1861
africa,Equatorial Guinea,386.0,29.8,92089,1861
asia,Tonga,764.0,28.2,18820,1861
europe,Spain,1897.0,29.5,15699000,1861
americas,Dominican Republic,835.0,29.9,192778,1861
